"RGB Hex","RGB Hex3","HSL","RGB","HTML Keyword"
"#a3efa4","#afa","hsl(120,70,78)","rgb(163,239,164)","palegreen"
"#585858","#666","hsl(0,0,34)","rgb(88,88,88)","dimgray"
"#ffffff","#fff","hsl(0,0,100)","rgb(255,255,255)","white"
"#ffffff","#fff","hsl(0,0,100)","rgb(255,255,255)","white"
"#09d3ac","#1db","hsl(168,91,43)","rgb(9,211,172)","darkturquoise"
"#000000","#000","hsl(0,0,0)","rgb(0,0,0)","black"
"#bfc982","#cd8","hsl(68,39,64)","rgb(191,201,130)","darkkhaki"
"#cd7c27","#d82","hsl(30,68,47)","rgb(205,124,39)","chocolate"
"#f1dfb9","#fec","hsl(40,66,83)","rgb(241,223,185)","wheat"
"#f8c15c","#fc6","hsl(38,91,66)","rgb(248,193,92)","sandybrown"
"#85e251","#8e5","hsl(98,71,60)","rgb(133,226,81)","yellowgreen"
